Grade	ID	BusinessName	count_3	count_2	count_1	LICSTATUS	EXPDTTM	LICENSENO	Address	City	State	ZIP
A	1	1000 Washington Cafe	0	0	8	Inactive	12/31/2011 23:59	34789	1000   Washington ST	Roxbury	MA	2118
A	2	129 Lake Street Cafe	0	0	3	Active	12/31/2015 23:59	74211	127   LAKE ST	Brighton/	MA	2135
C	3	149 Eat Street	1	2	17	Active	12/31/2015 23:59	28288	300   CHELSEA ST	Charlestown/	MA	2129
A	4	150 Boylston St. Dining Room @ Emerson College	0	0	3	Inactive	12/31/2013 23:59	29381	150   Boylston ST	Boston	MA	2116
F	5	163 Vietnamese Sandwich	11	0	33	Active	12/31/2015 23:59	27609	66    Harrison AV	BOSTON	MA	2111
A	6	20TH CENTRY BOWLING LANES	0	0	1	Active	12/31/2015 23:59	18671	1231   Hyde Park AV	Hyde Park	MA	2136
B	7	21 ST. AMENDMENT	4	1	33	Active	12/31/2015 23:59	19863	150   Bowdoin ST	Boston	MA	2108
D	8	224 BOSTON STREET	5	6	37	Active	12/31/2015 23:59	21328	224   Boston ST	Dorchester	MA	2125
B	9	28 DEGREES	2	1	26	Inactive	12/31/2013 23:59	24047	1   Appleton ST	Boston	MA	2116
D	10	29 Newbury Street	8	5	33	Active	12/31/2015 23:59	18754	29   Newbury ST	Boston	MA	2116
A	11	2nd Cup Cafe	0	0	3	Inactive	12/31/2010 0:00	26681	101   Brighton AV	Allston	MA	2134
C	12	303 Cafe	3	2	15	Inactive	12/31/2012 23:59	27924	303   Sumner ST	East Boston	MA	2128
A	13	412 Broadway	0	0	5	Active	12/31/2015 23:59	134050	412 W Broadway	South Boston	MA	2127
C	14	49 Social	3	2	17	Active	12/31/2015 23:59	75153	49   Temple PL	Boston	MA	2111
D	15	5 Napkin Burger	6	7	42	Active	12/31/2015 23:59	74369	101   Huntington AV	Boston/	MA	2199
A	16	5-WITS	0	0	1	Inactive	12/31/2010 0:00	23376	186   BROOKLINE  AV	BOSTON	MA	2215
B	17	68 Chinese Fast Food	4	0	38	Active	12/31/2015 23:59	20591	48   Winter ST	Boston	MA	2108
B	18	73 Cafe	3	1	10	Active	12/31/2015 23:59	68356	73   Tremont ST	Boston	MA	2108
B	19	75 CHESTNUT	2	0	17	Active	12/31/2015 23:59	20638	75   Chestnut ST	Boston	MA	2108
A	20	75 On Liberty Wharf	0	0	4	Active	12/31/2015 23:59	79483	220   Northern AV	Boston	MA	2210
D	21	99 RESTAURANT AND PUB	6	1	48	Active	12/31/2015 23:59	19530	29   Austin ST	Charlestown	MA	2129
B	22	A & N PIZZA	2	0	9	Active	12/31/2015 23:59	23626	1409   Centre ST	Roslindale	MA	2131
B	23	A @ Time	3	0	9	Active	12/31/2014 23:59	83847	417   Cambridge ST	Allston	MA	2134
A	24	A K's Kitchen	0	0	2	Inactive	12/31/2010 0:00	31973	1234  Columbus Av	Roxbury	MA	2119
B	25	A K's Take Out	4	1	18	Active	12/31/2015 23:59	28862	305   D ST	South Boston	MA	2127
D	26	A K's Take Out & Delivery	6	8	70	Active	12/31/2015 23:59	28531	1427   Tremont ST	Mission Hill	MA	2120
B	27	A K's Take Out & Delivery@Reggie Lewis Track	1	0	23	Active	12/31/2015 23:59	31365	1350   Tremont ST	Boston	Ma	2116
A	28	A Taste of Jamaica	0	0	5	Inactive	12/31/2011 23:59	75537	124   Harvard ST	Dorchester	MA	2124
A	29	A Time To Taste	1	0	1	Inactive	12/31/2012 23:59	77513	181   Devonshire ST	Boston	MA	2110
A	30	ABE & LOUIE'S	0	0	20	Active	12/31/2015 23:59	75242	793   Boylston ST	Boston	MA	2116
A	31	ABIGAIL'S TEA ROOM @CONGRESS BRIDGE	0	0	1	Active	12/31/2015 23:59	78077	306   Congress ST	Boston	MA	2210
B	32	AFC SUSHI @SIMMONS COLLEGE	3	1	2	Active	12/31/2015 23:59	73444	300   Fenway	Boston	MA	2115
D	33	AFC SUSHI BAR @ UMASS BOSTON	7	0	4	Active	12/31/2015 23:59	22787	100   WM T MORRISSEY  BL	DORCHESTER	MA	2125
B	34	AFC Sushi @ Shaw's No. 586	3	1	6	Active	12/31/2015 23:59	126794	4   River ST	Mattapan	MA	2108
D	35	AFC Sushi @ Suffolk University	7	0	10	Active	12/31/2015 23:59	34037	41   Temple ST	Boston	MA	2114
B	36	AFC Sushi @ Walgreens No. 15390	2	0	4	Active	12/31/2015 23:59	90461	10   School ST	Boston	MA	2108
F	37	AL CAPONE	14	8	35	Active	12/31/2014 23:59	22813	80   Summer ST	Boston	MA	2110
D	38	AL DENTE RISTORANTE	3	5	48	Active	12/31/2015 23:59	19660	109   Salem ST	Boston	MA	2113
C	39	AL'S PIZZA AND GRILL	2	2	15	Active	12/31/2015 23:59	80268	402 W Broadway	South Boston	MA	2127
F	40	AL'S STATE ST. CAFE	27	7	77	Active	12/31/2014 23:59	22368	112   STATE	BOSTON	MA	2109
B	41	ALEX PIZZA	2	0	26	Active	12/31/2015 23:59	24310	1252   Washington ST	Roxbury	MA	2118
D	42	ALEX'S CHIMIS	7	13	74	Active	12/31/2015 23:59	20931	358   CENTRE	JAMAICA PLAIN	MA	2130
A	43	ALEX'S PIZZA	0	0	2	Inactive	12/31/2010 0:00	23264	580   Dorchester AV	South Boston	MA	2127
D	44	ALFREDO'S	5	6	21	Active	12/31/2015 23:59	22825	229   BRIGHTON  AV	ALLSTON	MA	2134
C	45	ALFREDO'S ITALIAN KITCHEN	5	0	15	Active	12/31/2014 23:59	23175	243   Dorchester ST	South Boston	MA	2127
C	46	ALGONQUIN CLUB OF BOSTON	2	2	23	Active	12/31/2014 23:59	18930	217   COMMONWEALTH  AV	BOSTON	MA	2116
C	47	ALI ROTI RESTAURANT	3	3	65	Active	12/31/2014 23:59	20778	1035   Tremont ST	Mission Hill	MA	2120
A	48	ALLIS ROTI + MEAT MARKET	1	0	13	Active	12/31/2014 23:59	18944	1188   Blue Hill AV	Mattapan	MA	2126
D	49	AMC Theatres Boston Common 19	3	8	87	Active	12/31/2014 23:59	21804	175   Tremont ST	Boston	MA	2111
F	50	AMES PLOW TAVERN	14	8	53	Active	12/31/2015 23:59	26089	200   Faneuil Hall Market PL	Boston	MA	2109
F	51	AMRHEIN'S	18	9	56	Active	12/31/2015 23:59	18844	80 W BROADWAY	SOUTH BOSTON	MA	2127
D	52	AMSTERDAM CAFE	3	5	29	Active	12/31/2015 23:59	86558	483 E Broadway	South Boston	MA	2127
D	53	AMSTERDAM CAFE	8	5	27	Inactive	12/31/2013 23:59	23901	517   COLUMBUS  AV	BOSTON	MA	2118
F	54	AN TAIN	15	2	31	Active	12/31/2015 23:59	21024	31   India ST	Boston	MA	2110
C	55	ANCHOVIES RESTAURANT	1	2	22	Active	12/31/2015 23:59	24617	433   COLUMBUS  AV	BOSTON	MA	2116
C	56	ANDALE! MEXICAN GRILL	3	2	14	Inactive	12/31/2012 23:59	22905	125  Summer St	Boston	MA	2111
A	57	ANDREW SQUARE HOUSE OF PIZZA	1	0	9	Active	12/31/2015 23:59	19813	395  Dorchester St	South Boston	MA	2127
F	58	ANH HONG RESTAURANT  LLC	18	7	72	Active	12/31/2015 23:59	23490	291   Adams ST	Dorchester	MA	2122
B	59	ANSOVARO'S HOT DOG	4	0	5	Inactive	12/31/2011 23:59	26152	CITYWIDE	BOSTON	MA	
D	60	ANTHONY'S CAFE	7	1	29	Active	12/31/2015 23:59	19977	252   Commercial ST	Boston	MA	2109
D	61	ANTICO FORNO	9	4	53	Active	12/31/2015 23:59	20296	93   Salem ST	Boston	MA	2113
D	62	ANTONIO'S ITALIANO CUCINA	9	1	19	Active	12/31/2015 23:59	19837	286   Cambridge ST	Boston	MA	2114
C	63	APPLEBEE'S NEIGHBORHOOD GRILL	2	3	23	Active	12/31/2015 23:59	77404	11A  Allstate Rd	Dorchester	MA	2125
C	64	APPLEBEE'S NEIGHBORHOOD GRILL	0	2	15	Active	12/31/2015 23:59	77408	379   CHESTNUT HILL AV	Brighton	MA	2135
A	65	APPLEBEE'S NEIGHBORHOOD GRILL	0	0	6	Inactive	12/31/2011 23:59	24065	381   CHESTNUT HILL  AV	BRIGHTON	MA	2135
B	66	APPLEBEE'S NEIGHBORHOOD GRILL & BAR	2	0	12	Inactive	12/31/2011 23:59	24986	11   Allstate RD	Dorchester	Ma	2125
B	67	APPOLLO GRILL	2	0	5	Inactive	12/31/2014 23:59	20529	86   HARRISON  AV	BOSTON	MA	2111
D	68	AQUITAINE	9	10	102	Active	12/31/2015 23:59	20803	569   Tremont ST	Roxbury	MA	2118
D	69	ARAMARK @ BROWNE BROS.HARRIMAN	6	0	6	Inactive	12/31/2013 23:59	24106	40   Water ST	Boston	MA	2109
B	70	ARAMARK @ SULLIVAN & WORCESTER	2	1	4	Active	12/31/2014 23:59	22391	1   Post Office SQ	Boston	MA	2109
D	71	ARC	3	4	28	Active	12/31/2015 23:59	22896	835   Beacon ST	Boston	MA	2115
F	72	ARCHIE'S NEW YORK DELI	12	1	29	Active	12/31/2015 23:59	19907	93   Arch ST	Boston	MA	2110
D	73	ARIRANG HOUSE	4	6	32	Inactive	12/31/2010 0:00	22475	162   MASSACHUSETTS  AV	BOSTON	MA	2115
F	74	ARIS BARBEQUE	19	7	40	Active	12/31/2015 23:59	26001	200   FANEUIL HALL MARKET PL	BOSTON	MA	2109
C	75	ARTU	4	3	46	Active	12/31/2015 23:59	19399	6   PRINCE	BOSTON	MA	2113
B	76	ARTU	4	0	26	Active	12/31/2015 23:59	20046	89   Charles ST	Boston	MA	2114
C	77	ASAKI	5	0	11	Active	12/31/2015 23:59	22153	418   Market ST	Brighton	MA	2135
D	78	ASHLEY'S BREAKFAST SHOPPE	9	5	39	Active	12/31/2015 23:59	20237	260  Bowdoin St	Dorchester	MA	2125
C	79	ASHMONT GRILL	4	3	30	Active	12/31/2015 23:59	23991	555   Talbot AV	Dorchester	MA	2124
D	80	ASIAN GARDEN RESTAURANT INC.	3	4	42	Active	12/31/2015 23:59	22056	28   HARRISON  AV	BOSTON	MA	2111
C	81	ASIAN THAI EATERY INC.	2	2	15	Active	12/31/2015 23:59	23727	1064   River ST	Hyde Park	MA	2136
C	82	ASSAGGIO RESTAURANT	3	3	26	Active	12/31/2015 23:59	20360	25   Prince ST	Boston	MA	2113
B	83	ATLANTIC FISH COMPANY	0	1	18	Active	12/31/2015 23:59	75240	761   Boylston ST	Boston	MA	2116
A	84	ATRIUM CAFE/HARVARD MED.SCHOOL	0	0	2	Active	12/31/2015 23:59	23925	260  Longwood Av	Boston	MA	2115
B	85	AU BON PAIN (4TH FL)	2	0	4	Active	12/31/2015 23:59	25803	133   BROOKLINE AV	BOSTON	MA	2215
A	86	AUNTIE ANNE'S (No. MA 110)	1	0	3	Active	12/31/2015 23:59	22647	700   Atlantic AV	Boston	MA	2110
B	87	AUNTIE VIE'S BAKERY & CAFE	4	1	14	Active	12/31/2015 23:59	90019	480   Washington ST	Dorchester	MA	2124
B	88	AVILA	3	1	15	Inactive	12/31/2013 23:59	24560	1   CHARLES ST SOUTH	BOSTON	MA	2116
A	89	Abbott's Frozen Custard	0	0	1	Active	12/31/2015 23:59	74489	362   Washington ST	Brighton	MA	2135
C	90	Abby Lane	4	3	15	Active	12/31/2015 23:59	79241	253   Tremont ST	Boston	MA	2116
C	91	Acapulco Mexican Restaurant	2	3	22	Active	12/31/2015 23:59	19029	466   CENTRE	JAMAICA PLAIN	MA	2130
A	92	Aces High	1	0	6	Inactive	12/31/2013 23:59	18407	551   DORCHESTER  AV	SOUTH BOSTON	MA	2127
A	93	Adams B & B	0	0	1	Active	12/31/2015 23:59	21988	12   Edgerly RD	Boston	MA	2115
C	94	Addis Red Sea	3	2	16	Active	12/31/2015 23:59	18526	540   Tremont ST	Roxbury	MA	2116
B	95	Aer Lingus Lounge (2nd level)	0	1	3	Active	12/31/2015 23:59	25743	500   LOGAN AIRPORT TRMNL E	EAST BOSTON	MA	2128
F	96	Al Mercatino	35	5	58	Active	12/31/2014 23:59	25524	300   FANEUIL HALL MARKET PL	BOSTON	MA	2109
B	97	Al's South St. Express	3	0	13	Active	12/31/2015 23:59	28744	179   Essex ST	Boston	MA	2111
F	98	Al-Wadi Restaurant	11	6	84	Active	12/31/2015 23:59	68660	1249   VFW PW	West Roxbury	MA	2132
B	99	Alchemist Lounge	4	0	5	Inactive	12/31/2010 23:59	27586	435   South Huntington AV	Boston	Ma	2130
D	100	Alibi	8	2	31	Active	12/31/2015 23:59	77887	215   Charles ST	Boston	MA	2114
A	101	Allston Cafe	1	0	2	Inactive	12/31/2010 0:00	19269	155   Brighton AV	Allston	MA	2134
C	102	Allston Diner	5	1	15	Active	12/31/2015 23:59	78169	417   Cambridge ST	Allston	MA	2134
C	103	Allston Village Pizza	4	2	12	Inactive	12/31/2013 23:59	32474	2   BRIGHTON AV	ALLSTON	MA	2134
C	104	Alumni 1	1	2	3	Active	12/31/2015 23:59	68154	2597   Beacon ST	Brighton	MA	2135
B	105	Alumni 2	3	0	3	Active	12/31/2015 23:59	68156	2597   Beacon ST	Brighton	MA	2135
B	106	Alumni 3	2	1	4	Active	12/31/2015 23:59	68158	2597   Beacon ST	Brighton	MA	2135
A	107	Alumni 5	0	0	2	Active	12/31/2015 23:59	68162	2597   Beacon ST	Brighton	MA	2135
A	108	Amelia's Taqueria	0	0	8	Active	12/31/2015 23:59	90271	180   Brighton AV	Allston	MA	2134
A	109	Amelia's Taqueria	0	0	1	Active	12/31/2015 23:59	137353	309   Huntington AV	Boston	MA	2115
F	110	American Bakers	12	5	26	Active	12/31/2015 23:59	29000	39   First AV	Charlestown	MA	2129
A	111	American Fare	1	0	0	Inactive	12/31/2013 23:59	86518	1   Citywide ST	Boston	MA	2128
A	112	Americano Espresso Bar	0	0	7	Active	12/31/2015 23:59	24849	155   Meridian ST	East Boston	MA	2128
B	113	Amici	0	1	4	Active	12/31/2015 23:59	83699	111 N Washington ST	Boston	MA	2113
A	114	Amory Restaurant	0	0	10	Inactive	12/31/2011 23:59	32930	222   Amory ST	Jamaica Plain	MA	2130
A	115	Amory Restaurant Inc.	0	0	2	Inactive	12/31/2011 23:59	75100	222   Amory ST	Jamaica Plain	MA	2130
D	116	Amy's Wrap N'Roll	6	2	16	Inactive	12/31/2011 23:59	37238	400   Brookline AV	Boston	MA	2115
C	117	Ancient & Honorable Artillery Company	0	2	12	Active	12/31/2015 23:59	25433	200   Faneuil Hall Market PL	Boston	MA	2109
B	118	Andalus Pizza & Cafe	4	1	6	Active	12/31/2015 23:59	27706	153   SUTHERLAND RD	BRIGHTON	MA	2135
D	119	Andre's Cafe	8	2	46	Active	12/31/2014 23:59	37295	811   Harrison AV	Roxbury	MA	2118
D	120	Angela's Cafe	8	3	33	Active	12/31/2014 23:59	27539	131   Lexington ST	East Boston	MA	2128
B	121	Anna Hand Cut Donuts	1	1	30	Active	12/31/2015 23:59	18298	2056   Centre ST	West Roxbury	MA	2132
D	122	Anna's Taqueria	6	2	8	Active	12/31/2015 23:59	30122	242   Cambridge ST	Boston	MA	2114
B	123	Annabelle's Restaurant	0	1	24	Inactive	12/31/2013 23:59	74420	1300  Hyde Park Av	Hyde Park	MA	2136
A	124	Another Cup? Coffee House	0	0	3	Active	12/31/2014 23:59	78515	1   Nassau ST	Boston	MA	2111
F	125	Anshur Restauruant	13	4	116	Active	12/31/2015 23:59	31241	291   Roxbury ST	Roxbury	MA	2119
D	126	Anthem	9	4	110	Active	12/31/2015 23:59	67866	100-199   Faneuil Hall Market PL	Boston	MA	2109
A	127	Anthony's @ Adams Village	0	0	4	Active	12/31/2015 23:59	135587	789   Adams ST	Dorchester	MA	2124
F	128	Anthony's Pier 4	11	7	67	Inactive	12/31/2013 23:59	18811	140   NORTHERN  AV	BOSTON	MA	2210
C	129	Antojitos & Panaderia Chapina	3	2	11	Inactive	12/31/2011 23:59	28832	299   Hancock ST	Dorchester	MA	2125
B	130	Antojitos Dominicanos Y Mas	4	1	5	Active	12/31/2014 23:59	119294	379   Blue Hill AV	Dorchester	MA	2121
A	131	Antojitos Panaderia Mi Guatemala INC.	1	0	11	Inactive	12/31/2013 23:59	79253	299   Hancock ST	Dorchester	MA	2125
C	132	Appleton Bakery & Cafe	0	1	42	Active	12/31/2015 23:59	86765	75   Dartmouth ST	Boston	MA	2116
B	133	Appleton Cafe	2	1	8	Inactive	12/31/2012 23:59	75280	123   Appleton ST	Boston	MA	2116
B	134	Appleton Cafe & Bakery	0	1	3	Inactive	12/31/2011 23:59	29371	75   DARTMOUTH ST ST	BOSTON	MA	2116
A	135	Aramark @ BNY Mellon	0	0	1	Active		137934	201   Washington ST	Boston	MA	2108
D	136	Aramark at Houghton Mifflin	3	4	20	Active	12/31/2015 23:59	24693	222   Berkeley ST	Boston	MA	2116
F	137	Arboretum Grill	23	8	68	Active	12/31/2015 23:59	77254	4021   Washington ST	Roslindale	MA	2131
B	138	Arbri Caffe	3	1	2	Inactive	12/31/2012 23:59	34614	146   Belgrade AV	Roslindale	MA	2131
F	139	Archie's Place	24	2	18	Active	12/31/2015 23:59	87069	227   Washington ST	Boston	MA	2108
B	140	Area Four	2	0	2	Inactive	12/31/2014 23:59	80810	1   Citywide ST	Boston	MA	2128
A	141	Aria Trattoria	0	0	3	Active	12/31/2015 23:59	86940	253   Hanover ST	Boston	MA	2113
B	142	Ariana Restaurant	0	1	23	Active	12/31/2014 23:59	67790	127   Brighton AV	Allston	MA	2134
B	143	Aristo Cafe	4	0	13	Inactive	12/31/2010 0:00	37119	90   State ST	Boston	MA	2109
F	144	Arizona B B Q	18	4	103	Active	12/31/2015 23:59	29252	2360   Washington ST	Roxbury	MA	2119
F	145	Ashburton Cafe	21	8	48	Active	12/31/2015 23:59	25883	1   Ashburton PL	Boston	MA	2114
F	146	Asia Wok	10	5	33	Active	12/31/2015 23:59	28681	44  Harvard Av	Allston	MA	2134
A	147	Asian B B Q and Grill	1	0	12	Inactive	12/31/2013 23:59	67915	48   Winter ST	Boston	MA	2108
B	148	Asian House	0	1	5	Active	12/31/2015 23:59	112706	99  Cambridge St	Charlestown	MA	2129
D	149	Asian Too Express	8	1	23	Active	12/31/2015 23:59	29737	200   LOGAN AIRPORT TRMNL B	EAST BOSTON	MA	2128
A	150	Asta	0	0	7	Active	12/31/2015 23:59	80836	47   Massachusetts AV	Boston	MA	2115
D	151	At Union	9	0	6	Active	12/31/2015 23:59	33490	174   HARVARD  AV	BOSTON	MA	2134
F	152	Athan's European Bakery	16	5	57	Active	12/31/2015 23:59	24028	407   WASHINGTON	BRIGHTON	MA	2135
C	153	Atlantic Beer Garden	4	2	24	Active	12/31/2015 23:59	31281	146   NORTHERN  AV	SOUTH BOSTON	MA	2210
C	154	Au Bon Pain	5	2	15	Inactive	12/31/2011 23:59	37252	100   HUNTINGTON AV	BOSTON	MA	2116
F	155	Au Bon Pain	13	2	59	Active	12/31/2015 23:59	19120	101   Merrimac ST	Boston	MA	2114
D	156	Au Bon Pain	6	1	41	Active	12/31/2015 23:59	126271	17  Blackfan St	Boston	MA	2115
C	157	Au Bon Pain	5	0	20	Inactive	12/31/2011 23:59	19984	189   Massachusetts AV	Boston	MA	2115
B	158	Au Bon Pain	3	0	7	Active	12/31/2015 23:59	18720	26   PARK PLAZA	BOSTON	MA	2110
B	159	Au Bon Pain	2	0	8	Active	12/31/2015 23:59	25684	310   Congress ST	Boston	Ma	2210
D	160	Au Bon Pain	9	0	22	Active	12/31/2015 23:59	20407	360   HUNTINGTON  AV	BOSTON	MA	2115
